date,Open,High,Low,Close,Volume,Ticker
2025-10-01 08:35:00,2.5000,2.5100,2.4900,2.4906,3330.0000,AIHS
2025-10-01 08:34:00,2.5100,2.5100,2.5000,2.5000,543.0000,AIHS
2025-10-01 08:33:00,2.4700,2.5100,2.4700,2.5100,18822.0000,AIHS
2025-10-01 08:32:00,2.5251,2.5251,2.4600,2.4691,30225.0000,AIHS
2025-10-01 08:31:00,2.5455,2.5455,2.5199,2.5300,2939.0000,AIHS
2025-10-01 08:30:00,2.6000,2.6001,2.5000,2.5300,107929.0000,AIHS
2025-10-01 08:29:00,2.5800,2.6300,2.5650,2.6001,63887.0000,AIHS
2025-10-01 08:28:00,2.5670,2.5670,2.5500,2.5500,1405.0000,AIHS
2025-10-01 08:27:00,2.5742,2.5800,2.5700,2.5799,2812.0000,AIHS
2025-10-01 08:26:00,2.5700,2.5900,2.5500,2.5900,7059.0000,AIHS
2025-10-01 08:25:00,2.5750,2.5750,2.5706,2.5706,997.0000,AIHS
2025-10-01 08:24:00,2.5899,2.5900,2.5800,2.5800,9187.0000,AIHS
2025-10-01 08:23:00,2.5800,2.5900,2.5700,2.5800,8300.0000,AIHS
2025-10-01 08:22:00,2.5590,2.6000,2.5590,2.5850,40593.0000,AIHS
2025-10-01 08:21:00,2.5499,2.5600,2.5444,2.5600,5521.0000,AIHS
2025-10-01 08:20:00,2.5300,2.5500,2.5207,2.5442,23298.0000,AIHS
2025-10-01 08:19:00,2.5199,2.5300,2.5050,2.5299,43518.0000,AIHS
2025-10-01 08:18:00,2.5195,2.5200,2.5100,2.5119,14827.0000,AIHS
2025-10-01 08:17:00,2.5197,2.5197,2.5101,2.5150,5320.0000,AIHS
2025-10-01 08:16:00,2.5109,2.5199,2.5109,2.5198,1148.0000,AIHS
2025-10-01 08:15:00,2.4991,2.5200,2.4802,2.5021,30732.0000,AIHS
2025-10-01 08:14:00,2.5050,2.5092,2.5000,2.5000,3580.0000,AIHS
2025-10-01 08:13:00,2.5100,2.5150,2.5000,2.5092,5064.0000,AIHS
2025-10-01 08:12:00,2.5300,2.5400,2.5100,2.5100,4639.0000,AIHS
2025-10-01 08:11:00,2.5209,2.5300,2.5200,2.5250,3612.0000,AIHS
2025-10-01 08:10:00,2.5299,2.5300,2.5186,2.5250,2332.0000,AIHS
